Sturdy Rope,400,"Sturdy Rope with a tensile strength of 225 kg or roughly 500lbs. 30 Hit Points and 20 Damage Reduction.

Rope can only be damaged by Fire-Type attacks, attacks made with sharp objects(knives, swords, sharp teeth), and moves like Scratch, Slash, Leaf Blade, Razor Leaf, etc. The Move Cut ignores all Damage Reduction against Rope. Rope can be bought in any length of 25 ft up to 300.",Full Restore,1450,Heals a Pokémon for 80 Hit Points and cures any Status Afflictions,MooMoo Milk,500,Heals 80 Hit Points,Contest Accessory,1500,The user rolls +2d6 during the Introduction Stage of a Contest. Cannot be used by Trainers.,Friend Ball,800,-5,A caught Pokémon will start with +1 Loyalty.,Sunglasses,2000,Head,"+1 to Charm, Guile, and Intimidate Checks, to a maximum total modifier of +3."
Sleeping Bag,1000,A standard sleeping bag.  Holds one person.,Revive,300,Revives fainted Pokémon and sets to 20 Hit Points,Baby Food,--,"A nutritious food that causes young Pokémon to grow quickly. When consumed, increases Experience Gain of Pokémon at level 15 or lower by 20% for the rest of the day.",Contest Fashion,1000,"These Items have a chosen Contest Stat; Beauty, Cool, Cute, Smart, or Tough. When held, once per Contest, the holder may re-roll any 1s made when using a Move of the chosen Type. Cannot be used by Trainers.",Love Ball,800,+0,"-30 Modifier if the user has an active Pokémon that is of the same evolutionary line as the target, and the opposite gender. Does not work with genderless Pokémon.",Snow Boots,1500,Feet,"Snow Boots grant you the Naturewalk (Tundra) capability, but lower your Overland Speed by -1 while on ice or deep snow."
Sleeping Bag (Double),1800,A standard sleeping bag.  Holds two people.,Energy Powder,150,Heals 25 Hit Points - Repulsive,Cheri Berry,150,"Cures Paralysis, Cool Poffin Ingredient. Tier 1.",Beauty Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Beauty Move. Cannot be used by Trainers.,Heavy Ball,800,+0,-5 Modifier for each Weight Class the target is above 1.,Running Shoes,2000,Feet,"Running Shoes grant a +2 bonus to Athletics Checks, to a maximum total modifier of +3, and increase your Overland Speed by +1."
Tent,400/m^3,"Standard outdoor tents. Provide protection from the elements of nature. A small one person tent would be about 1m x 1.5m x 1.5m, or 2.25 cubic meters– meaning 900 in price.",Energy Root,500,Heals 70 Hit Points - Repulsive,Chesto Berry,150,"Cures Sleep, Beauty Poffin Ingredient. Tier 1.",Cute Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Cute Move. Cannot be used by Trainers.,Fast Ball,800,+0,-20 Modifier if the target has a Movement Capability above 7.,Flippers,2000,Feet,"Flippers grant a +2 bonus to your Swim speed when fully submerged, and decrease your Overland speed by the same amount."
Lighter,150,For creating flames in a hurry.,Heal Powder,350,Cure all Persistent Status Afflictions – Repulsive,Pecha Berry,150,"Cures Poison, Cute Poffin Ingredient. Tier 1.",Cool Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Cool Move. Cannot be used by Trainers.,Sport Ball,800,+0,Used during Safari hunts.,Jungle Boots,1500,Feet,Jungle Boots grant you the Naturewalk (Forest) capability
Waterproof Lighter,1000,For creating flames in a hurry.  Waterproof.,Revival Herb,350,Revives Pokémon and sets to 50% Hit Points - Repulsive,Rawst Berry,150,"Cures Burn, Smart Poffin Ingredient. Tier 1.",Smart Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Smart Move. Cannot be used by Trainers.,Premier Ball,800,+0,Given as promotional balls during sales.,Fishing Rod,Varies,Hands,"Fishing Rods are used to Fish. They are two-handed items. They come in three varieties; Old Rods, Good Rods, and Super Rods."
Flashlight,200,"For, you know, seeing. In the dark. Yes.",X Attack,350,Increases the Pokémon’s Attack by two Combat Stages,Aspear Berry,150,"Cures Freeze, Tough Poffin Ingredient. Tier 1",Tough Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Tough Move. Cannot be used by Trainers.,Repeat Ball,800,+0,-20 Modifier if you already own a Pokémon of the target’s species.,Old Rod,1000,Hands,A basic fishing rod.
Waterproof Flashlight,600,"For, you know, seeing. In the dark. Yes.  Waterproof.",X Defend,350,Increases the Pokémon’s Defense by two Combat Stages,Oran Berry,150,Restores 5 Hit Points. Tier 1.,Everstone,1500,Evolution is prevented for the holder. Cannot be used by Trainers.,Timer Ball,800,+5,"-5 to the Modifier after every round since the beginning of the encounter, until the Modifier is -20.",Good Rod,5000,Hands,A better fishing rod.
Water Filter,500,Can ensure that river or pond water is clean to drink after being filtered.,X Special,350,Increases the Pokémon’s Special Attack by two Combat Stages,Persim Berry,150,Cures Confusion. Tier 1.,Eviolite,4000,"Only affects not-fully-evolved Pokémon of a single family, decided when the Eviolite is made. Grants a +5 Bonus to two different Stats, after Combat Stages, decided when the Eviolite is made. Prevents Pokémon from evolving when held. Cannot be used by Trainers.",Nest Ball,800,+0,-20 Modifier if the target is under level 10.,Super Rod,15000,Hands,The best fishing rod.
Repel,200,Lasts 1 hour; causes Pokémon of level 15 or lower to flee.,X Sp. Def.,350,Increases the Pokémon’s Special Defense by two Combat Stages,Razz Berry,150,Cool Poffin Ingredient. Tier 1.,Expert Belt,3500,"Whenever the holder deals Super Effective Damage, they deal an additional 5 damage (this damage is not multiplied). Accessory Item for Trainers.",Net Ball,800,+0,-20 Modifier if the target is Water or Bug type.,Glue Cannon,3000,Hands,"Glue Cannons are exactly what you expect; This two-handed Equipment piece is a hand-held cannon that launches globs of glue. Attacking with a Glue Cannon expends a charge, which must be purchased. The attack is an AC8 Status Attack. If it hits, the target is Slowed. On a critical hit, the target is instead Stuck and Trapped. The Glue Cannon and three charge packets cost $3000, and additional charge packets costs $100."
Super Repel,300,Lasts 2 hours; causes Pokémon of level 25 or lower to flee.,X Speed,350,Increases the Pokémon’s Speed by two Combat Stages,Bluk Berry,150,Beauty Poffin Ingredient. Tier 1.,Flame Orb,3800,Induces burn on holder. Off-Hand Item for Trainers. Standard Action to drop.,Dive Ball,800,+0,-20 Modifier if the target was found underwater or underground.,Glue Cannon Charge Packet,100,Consumable,A charge packet for Glue Cannons.
Max Repel,400,Lasts 5 hours; causes Pokémon of level 35 or lower to flee.,Dire Hit,600,Increases Critical Hit Range of all moves by +2.,Nanab Berry,150,Cute Poffin Ingredient. Tier 1.,Focus Band,4700,"Whenever the user faints, roll 1d20. Once a Scene on a result of 16+, the holder does not faint, and is left with 1 Hit Point. Accessory Item for Trainers.",Luxury Ball,800,-5,A caught Pokémon is easily pleased and starts with a raised happiness.,Hand Net,Varies,Hands,"A long net, usually on the end of a long stick, these pieces of two-handed Equipment are usually used for bug catching or fishing. As an AC6 Status Attack, you may attempt to net a Small Pokémon using this item. If you hit, you manage to scoop up the Pokémon, trapping them. You may move with the Pokémon, dragging them with you. Pokémon may still attack from the Hand Net using long-range attacks, or try to attack the net itself, potentially breaking it and freeing themselves. Capture Rolls against Pokémon in a net receive a -20 bonus.

Hand Nets with 50 Hit Points cost $100; 100 Hit Points cost $600; and 200 Hit Points cost $1500. Nets aren’t broken until all of their Hit Points are depleted."
Chemistry Set,1000,"Used to create Repels, Potions, and other objects.",X Accuracy,600,Increases Accuracy by +2,Wepear Berry,150,Smart Poffin Ingredient. Tier 1.,Focus Sash,4700,"Once a Scene, if damage from a Move would take Focus Sash’s holder’s Hit Points from Max to 0 or less, Focus Sash’s holder instead has 1 Hit Point remaining. Accessory Item for Trainers.",Heal Ball,800,-5,A caught Pokémon will heal to Max HP immediately upon capture.,Weighted Nets,Varies,Hands,"Weighted Nets are foldable nets used for trapping Pokémon. These two-handed nets, when Equipped, can be thrown at a target as a Standard Action, as a Status Attack with an AC of 8. While a Pokémon is netted, you may pull on the rope attached to the Net to pull the Pokémon 1 Meter towards you as a Standard Action. Pokémon hit by a weighted net become Slowed as long as the net remains and cannot use Sky or Levitate Speeds except to safely lower themselves back to the ground. A Pokémon may attack the Net to attempt to break free. Capture Rolls against Pokémon in a net receive a -20 bonus.

Weighted Nets with 50 Hit Points cost $500; 80 Hit Points cost $850; and 150 Hit Points cost $1200."
Cooking Set,1000,Used by Chefs to create Snacks and Refreshments.,Guard Spec,700,Prevents reduction of Combat Stages or Accuracy on the Pokémon for 5 Turns,Pinap Berry,150,Tough Poffin Ingredient. Tier 1.,Full Incense,900,The holder gains the Stall ability. Cannot be used by Trainers.,Quick Ball,800,-20,"+5 to Modifier after 1 round of the encounter, +10 to Modifier after round 2, +20 to modifier after round 3.",Capture Styler,7500,Hands,"A Capture Styler is a Main-Hand specialized piece of equipment used by some certified Pokémon Rangers in a region. It emits a string of energy that is used in a similar fashion to a lasso but is too weak to physically restrain a target. Instead, the energy has a calming effect on Pokémon. Trainers using a Capture Styler may use Survival in place of Charm when raising the Disposition of Pokémon. 

Acquiring a Capture Styler is easy for those who become certified Pokémon Rangers; most qualified Rangers receive one as part of the job. They are not for sale to the general public, and it’s easy to assume that someone who has a Capture Styler is a Ranger."
Dowsing Rod,2000,"Dowsing Rods have been attuned to the energy resonance given off by Shards and may be used while in any route, cave, or outside area. They may be activated by spending 10 minutes searching an area, and may be activated a number of times per day equal to half of the trainer’s Occult Education Rank.

Roll 1d6 per Occult Ed Rank. If the area being searched is a beach, cave, desert, or any other sandy/rocky area, roll +1d6. If you have Skill Stunt (Dowsing), roll an additional 1d6. For each die that results in 4 or higher, you find 1 Shard of a random color: Red, Orange, Yellow, Green, Blue, or Violet. You may reroll any die that result in 6, gaining that shard and potentially more.",Bandages,300,"Bandages are applied as Extended Actions on Pokémon or Trainers. Bandages last for 6 hours; while applied, they double the Natural Healing Rate of Pokémon or Trainers, meaning a Pokémon or Trainer will heal 1/8th of their Hit Points per half hour. Bandages also immediately heal one Injury if they remain in place for their full duration.

If a Pokémon is damaged or loses Hit Points in any way, the Bandages immediately stop working.",Lum Berry,250,Cures any single status ailment. Tier 2.,Go-Goggles,1500,The user does not take damage from Sandstorm. Head Item for Trainers.,Dusk Ball,800,+0,"-20 Modifier if it is dark, or if there is very little light out, when used.",Light Shield,3000,Off-Hand,"A Shield is an Off-Hand defensive item held in one hand or braced to an arm. Light Shields grant +2 Evasion. They may be readied as a Standard Action to instead grant +4 Evasion and 10 Damage Reduction until the end of your next turn, but also cause you to become Slowed for that duration. If used Two-Handed, light shields can also function as a Small Melee Weapon."
Red Shard,--,"Associated with Fire, Fairy, & Psychic.  With Gem Lore, 4 can be combined into a Fire Stone.",Poultices,225,"Poultices are applied as Extended Actions on Pokémon or Trainers. Poultices last for 6 hours; while applied, they double the Natural Healing Rate of Pokémon or Trainers, meaning a Pokémon or Trainer will heal 1/8th of their Hit Points per half hour. Poultices also immediately heal one Injury if they remain in place for their full duration.

If a Pokémon is damaged or loses Hit Points in any way, the Poulticess immediately stop working.  Poultices are itchy and irritating to the skin and may cause loyalty loss.",Sitrus Berry,250,Restores 15 Hit Points. Tier 2.,Iron Ball,900,"The Holder’s Speed is halved, and any immunity to Ground Type is lost. Hand Item for Trainers. Standard Action to drop.",Cherish Ball,800,-5,A decorative Poké Ball often given out during special events.,Heavy Shield,4500,Off-Hand,"A Shield is an Off-Hand defensive item held in one hand or braced to an arm. Heavy Shields grant +2 Evasion and may be readied as a Standard Action to grant +6 Evasion and 15 Damage Reduction until the end of your next turn, but also cause you to become Slowed for that duration. If used Two-Handed, shields can also function as a Small Melee Weapon."
Orange Shard,--,"Associated with Normal, Fighting, & Dragon.  With Gem Lore, 4 can be combined into a Shiny Stone.",HP Up,4900,Raise the user’s HP Base Stat 1.,Figy Berry,250,"Spicy Treat, Cool Poffin Ingredient. Tier 2.",King's Rock,2500,"Attacks cause Flinch on a roll of 19+. This does not stack with any abilities, moves, or effects that extend flinch rate. Head Item for Trainers. Evolves Poliwhirl, Slowpoke.",Park Ball,800,-15,Used during Safari hunts.,Wonder Launcher,10000,Hands,"This strange and complicated two-handed machine can only be used by those that have an Expert-Level Medicine or Technology Education Skill. The wielder can spend 1 AP to activate it, and apply an X-Item at a Pokémon within 8 meters. X Items applied through the Wonder Launcher do not cause the target to forfeit any actions. Items combined by a Researcher may be used in the Wonder Launcher, and do not cause the target to forfeit any actions even if they are also a Restorative."
Yellow Shard,--,"Associated with Electric, Rock, & Steel.  With Gem Lore, 4 can be combined into a Thunder Stone.",Protein,4900,Raise the user’s Attack Base Stat 1.,Wiki Berry,250,"Dry Treat, Beauty Poffin Ingredient. Tier 2.",Lagging Items,900,"The Lagging Items are tied to a specific Stat. When held, they set that Stat to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.",Bounce Case,800,--,"A Poké Ball in a Bounce Case may bounce once when thrown or launched, up to a distance of 3 meters. This can be used to extend the effective range of a Poké Ball, hit around obstacles, or trigger effects such as the Capture Specialist’s Curve Ball on an additional target.",Focus,6000,Accessory,"A Focus grants +5 Bonus to a Stat, chosen when crafted. This Bonus is applied AFTER Combat Stages. Focuses are often Accessory-Slot Items, but may be crafted as Head-Slot, Hand or Off-Hand Slot Items as well; a Trainer may only benefit from one Focus at a time, regardless of the Equipment Slot. Focuses are not usually found in stores, but may sometimes be found for $6000 at your GM’s discretion."
Green Shard,--,"Associated with Bug, Grass, & Ground.  With Gem Lore, 4 can be combined into a Leaf Stone.",Iron,4900,Raise the user’s Defense Base Stat 1.,Mago Berry,250,"Sweet Treat, Cute Poffin Ingredient. Tier 2.",Lagging Tail,900,The holder's Speed Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,Contest Case,400,--,"Whenever a Pokémon is released from a Contest Case into a Contest, they gain 1 Appeal Point during the introduction stage.",Snag Machine,30000,Accessory,"Snag Machines are extremely illegal machines that allow trainers to steal another Trainer’s Pokémon. They come in both large, immovable varieties and smaller portable varieties. The Portable Variety is an Accessory-Slot Item. Inserting a Poké Ball into a Large Snag Machine turns it into a Snag Ball permanently, but Large Snag Machines may only turn 5 Poké Balls into Snag Balls per day. Inserting a Poké Ball into a Portable Snag Machine, which is a Swift Action, turns it into a Snag Ball after one round, but only for that round. Snag Balls have the same properties as the Poké Ball type they were before being inserted into the machine, but receive a -2 penalty on all Poké Ball attack rolls, and are capable of capturing owned Pokémon. Snag Machines cannot be bought in stores, but may sell on the black market for prices of $30,000 or more."
Blue Shard,--,"Associated with Water, Ice, & Flying.  With Gem Lore, 4 can be combined into a Water Stone.",Calcium,4900,Raise the user’s Special Attack Base Stat 1.,Aguav Berry,250,"Bitter Treat, Smart Poffin Ingredient. Tier 2.",Lagging Item (Atk),900,The holder's Attack Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,Flash Case,800,--,"When a Poké Ball with a Flash Case is thrown, it uses the Move Flash originating from the spot where it landed.",Mega Ring,--,Accessory,"Mega Rings are extraordinarily rare accessories that allow a Trainer’s Pokémon to Mega Evolve when used in conjunction with a Mega Stone. They cannot be bought in stores anywhere and must usually be earned through a trial of sorts, governed by a Gym Leader or other influential Pokémon Trainer. They can take the form of a bracelet, a necklace, or an actual ring."
Violet Shard,--,"Associated with Poison, Dark, & Ghost.  With Gem Lore, 4 can be combined into a Dusk Stone.",Zinc,4900,Raise the user’s Special Defense Base Stat 1.,Iapapa Berry,250,"Sour Treat, Tough Poffin Ingredient. Tier 2.",Lagging Item (Def),900,The holder's Defense Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,Lock Case,400,-10,A Lock Case grants a -10 Capture modifier to any Poké Ball. It also stops Pokémon from exiting Poké Balls unless explicitly released by their owners.,Caltrops,500,Consumable,Lets the user use the move Spikes as a Standard Action.  The item is then consumed.
Poffin Mixer,500,"A Poffin Mixer can be used by any Trainer to create Poffins. You simply insert cooking ingredients worth $500, and at least one of the listed berries. You create two Poffins that raises the Contest Stat most represented by the berries used by +1 Contest Die. Some Berries can raise multiple Contest Stats; you choose which to raise when using these Berries to make Poffins. Poffins can be purchased for $500 in bakeries.

Cheri, Figy, Razz, Spelon and Belue Berries raise Cool; Chesto, Wiki, Bluk, Spelon and Pamtre Berries raise Beauty; Pecha, Mago, Nanab, Pamtre, and Watmel Berries raise Cute; Rawst, Aguav, Wepear, Watmel, and Durin Berries raise Smart; Aspear, Iapapa, Pinap, Durin, and Belue Berries raise Tough.",Carbos,4900,Raise the user’s Speed Base Stat 1.,Liechi Berry,250,+1 Attack CS. Tier 2.,Lagging Item (SAtk),900,The holder's Special Attack Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,Medicine Case,400,--,"A Medicine Case may be filled with an Antidote, Paralyze Heal, Burn Heal, Ice Heal, or Full Heal. This consumes the used item. When a Pokémon is recalled into a Poké Ball with a filled Medicine Case, the item is automatically used on the Pokémon. Filling a Medicine Case is an Standard Action. Medicine Cases may be refilled multiple times but may only have one sort of consumable in them at a time.",Toxic Caltrops,500,Consumable,Lets the user use the move Toxic Spikes as a Standard Action.  The item is then consumed.
Cool Poffin,500,"Raises Cool Contest Stat by +1 Contest Die.  Made with Cheri, Figy, Razz, Spelon and Belue Berries.",Heart Booster,9800,The Pokémon gains 2 Tutor Points. Use only one per Pokémon.,Ganlon Berry,250,+1 Defense CS. Tier 2.,Lagging Item (SDef),900,The holder's Special Defense Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,Spray Case,800,--,"A Spray Case may be filled with a Pester Ball or Repel of any variety. This consumes the used item. Upon hitting a target, the Spray Case is emptied, spraying the item it was filled with onto its target, automatically hitting. This can occur when attempting to catch Pokémon (the effect is resolved before the capture roll), or when releasing a Pokémon from its Poké Ball (the effect is resolved before the Pokémon within is released). Spray Cases may be refilled numerous times, but may only have one sort of consumable in them at a time.",Dream Mist,500,Consumable,"Dream Mist may be used as an AC 6 Melee Status Attack, performed as a Standard Action. If it hits, the target falls Asleep. Dream Mist is collected from Pokémon with the eponymous Capability using a Collection Jar."
Beauty Poffin,500,"Raises Beauty Contest Stat by +1 Contest Die.  Made with Chesto, Wiki, Bluk, Spelon and Pamtre Berries.",PP Up,9800,Raise one of the user’s Move’s Frequency one level. Use only one per Pokémon.,Salac Berry,250,+1 Speed CS. Tier 2.,Lax Incense,2000,+1 to all Stat Evasions. Cannot be used by Trainers.,Devil Case,3000,--,"These dangerous and often illegal cases remove the failsafe on Poké Balls that prevents them from catching Pokémon that are at 0 Hit Points or less. It allows Poké Balls to catch Fainted Pokémon as normal, but automatically inflicts 2 Injuries when hitting a Pokémon - whether the Capture is successful or not.",Magic Flute,4000,Item,"Magic Flutes are rare artifacts made only by skilled crafters with occult knowledge. They are not usually found in stores. When a Flute is crafted, it is tied to a particular Status Condition. Once per day, the Flute may be played as a Standard Action. All Pokémon and Trainers within 20 meters of the Flute are cured of that Status. These rare artifacts cannot be found in most ordinary stores but may cost upwards of $4000 from an appropriate occult vendor."
Cute Poffin,500,"Raises Cute Contest Stat by +1 Contest Die.  Made with Pecha, Mago, Nanab, Pamtre, and Watmel Berries.",Heart Scale,--,Can be used to make Heart Boosters.,Petaya Berry,250,+1 Special Attack CS. Tier 2.,Life Orb,3700,"Whenever the holder deals direct damage, increase the damage by +5, and then the holder loses Hit Points equal to 1/16th of their Max Hit Points. Off-Hand Item for Trainers.",Storage Case,15000,--,"These extremely useful cases are capable of “Capturing” non-living matter. Once applied to a Poké Ball, Storage Cases cannot be removed. The object or objects in question must be smaller than 2 meters in any dimension. A single Storage Case can capture several discrete objects, but they must all be supported by a single surface; a 2x2 meter rug or mat is often used for this purpose. Capture Rolls against inanimate objects automatically succeed. Poké Balls with Storage Cases count towards the total number of Pokémon that the trainer can carry. Storage Cases are often illegal due to their uses in smuggling and theft.",Pester Balls,350,Consumable,"Pester Balls are small balls full of chemicals that come in six varieties, each of which inflicts a different Status Affliction when they hit a target. The Status Afflictions they can cause are: Rage, Confusion, Burn, Poison, Paralysis, and Sleep.

After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls."
Smart Poffin,500,"Raises Smart Contest Stat by +1 Contest Die.  Made with Rawst, Aguav, Wepear, Watmel, and Durin Berries.",Rare Candy,9800,"These very rare treats are created from Shuckles that have held a Berry for a long time. When ingested by a Pokémon, the eater gains enough experience to reach its next Level. Pokémon may benefit from up to five Rare Candies in their lifetime.",Apicot Berry,250,+1 Special Defense CS. Tier 2.,Luck Incense,1800,Grants +1 Bonus to all Accuracy Rolls. A roll of 1 always misses. Cannot be used by Trainers.,Zap Case,1500,--,"Whenever a Poké Ball with a Zap Case hits a target it deals damage as if using a Struggle Attack. This Damage is Electric-Typed. If the Ball is already used as a Struggle Attack (such as with Curve Ball), then the Zap Case changes the damage to Electric-Type and adds bonus damage equal to twice the user’s Technology Education skill. When attempting to catch Pokémon, damage is resolved before the capture roll. This can also be used when releasing a Pokémon (damage is resolved before the Pokémon is released).",Pester Ball: Rage,350,Consumable,"Inflicts Rage on the target. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls."
