Food Item,Digestion/Food Buff,Held Item,Description,Capability,Description,Weather,Effect
Rawst Berry,Cures burn,Beauty Fashion,Once per Contest the holder may re-roll any 1's made when using a Beauty Move.,Delta Evolution,Rayquaza may Mega-Evolve without holding a Mega Stone as long as it knows the Move Dragon Ascent.,,
Aspear Berry,Cures freeze,Cute Fashion,Once per Contest the holder may re-roll any 1's made when using a Cute Move.,Dream Mist,A Pokémon of at least Level 20 who has the Dream Mist Capability can produce Dream Mist once a day as an Extended Action. Dream Mist may be collected with a Collection Jar.,,
Oran Berry,Restores 5 Hit Points,Cool Fashion,Once per Contest the holder may re-roll any 1's made when using a Cool Move.,Dream Reader,"Pokémon with the Dream Reader Capability may view the dreams of Sleeping Pokémon and Trainers. If the Pokémon or Trainer was put to Sleep with a Dream Mist item, they may also form a moving image of the dream from the Dream Mist in the target, allowing others to get a brief glance of the contents of the dream. Pokémon with this Capability cannot read the dreams of targets with the Mindlock Capability.",,
Persim Berry,Cures Confusion,Smart Fashion,Once per Contest the holder may re-roll any 1's made when using a Smart Move.,Egg Warmer,"A Pokémon with Egg Warmer may heat up an egg once per 24 hours. Roll 1d10; on a result of 1, nothing happens; on a result of 2-10, the egg’s hatch time is reduced, in hours, by the number rolled.",,
Lum Berry,Cures any single status ailment,Tough Fashion,Once per Contest the holder may re-roll any 1's made when using a Tough Move.,Firestarter,"The Pokémon’s Struggle Attacks may be Fire-Typed if they wish. They may also add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish.",,
Sitrus Berry,Restores 15 Hit Points,Everstone,Evolution is prevented for the holder.,Fortune,"Once a day, a Pokémon of at least Level 20 with this Capability may be allowed to roam freely in a City or Town for at least one hour. The user then returns with an amount of money equal to its Level multiplied by 1d10. If the user is a Pokémon with a Loyalty of 1 or 0, it may not return and instead run away.",,
Figy Berry,"Heals 1/8th of the Pokémon’s Max HP. If the user likes Spicy, it heals 1/6th instead. If the user dislikes Spicy, the user is Confused.",Eviolite,"Only affects not-fully-evolved Pokémon of a single family, decided when the Eviolite is made. Grants a +5 Bonus to two different Stats, after Combat Stages, decided when the Eviolite is made. Prevents Pokémon from evolving when held.",Fountain,"The Pokémon’s Struggle Attacks may be Water-Typed if they wish. They may also add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish.",,
Wiki Berry,"Heals 1/8th of the Pokémon’s Max HP. If the user likes Dry, it heals 1/6th instead. If the user dislikes Dry, the user is Confused.",Expert Belt,"Whenever the holder deals Super Effective Damage, they deal an additional 5 damage (this damage is not multiplied).",Freezer,"The Pokémon’s struggle Attacks may be Ice-Typed if they wish. They may also add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish.",,
Mago Berry,"Heals 1/8th of the Pokémon’s Max HP. If the user likes Sweet, it heals 1/6th instead. If the user dislikes Sweet, the user is Confused.",Flame Orb,Induces Burn on holder. Standard Action to drop.,Gather Unown,"Pokémon of at least Level 20 with the Gather Unown Capability can summon a random Unown once a week as a Standard Action. The Unown has a Level of 2d8, but it cannot exceed the user’s Level. They are not immediately hostile.",,
Aguav Berry,"Heals 1/8th of the Pokémon’s Max HP. If the user likes Bitter, it heals 1/6th instead. If the user dislikes Bitter, the user is Confused.",Focus Band,"Whenever the holder would faint, roll 1d20. Once per Scene on a result of 16+, the holder does not faint and is left with 1 HP instead.",Gilled,A Gilled Pokémon can breathe underwater. It never needs to come up for air and can remain underwater for as long as it wants to.,,
Iapapa Berry,"Heals 1/8th of the Pokémon’s Max HP. If the user likes Sour, it heals 1/6th instead. If the user dislikes Sour, the user is Confused.",Focus Sash,"Once per Scene, if damage from a Move would take the holder’s Hit Points from Max to 0 or less, the holder is set to 1 HP instead.",Glow,"A Pokémon with the Glow Capability can emit light from a part of its body. Depending on the variety of wild Pokémon nearby, it might attract Pokémon or ward them away.",,
Liechi Berry,Attack CS +1,Full Incense,The holder gains the Stall ability.,Groundshaper,"A Pokémon with the Groundshaper Capability can transform the terrain around them to create Rough Terrain or Slow Terrain or Terrain that is both, or flatten out Rough Terrain to create Basic Terrain. Using this Capability is an At-Will Standard Action that affects all cardinally adjacent squares. All squares need not be affected in the same way, and the user may choose not to affect certain squares at all if they wish.",,
Ganlon Berry,Defense CS +1,Go-Goggles,The holder does not take damage from Sandstorm.,Guster,"The Pokémon’s Struggle Attacks may be Flying-Typed if they wish. They may also add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish.",,
Salac Berry,Speed CS +1,Iron Ball,"The holder's Speed Stat is halved, and any immunity to Ground Type is lost. Standard Action to drop.",Hazard Immunity,Confers immunity to all negative effects from toxic environments.,,
Petaya Berry,Special Attack CS +1,King's Rock,"Attacks cause Flinch on an accuracy roll of 19+. This does not stack with any abilities, moves, or effects that extend flinch rate.",Hazard Tolerance,"Lowers the toxicity of all environments by one step. High toxicity becomes medium, medium becomes low, and low toxicity is ignored altogether.",,
Apicot Berry,Special Defense CS +1,Lagging Items,"Lagging Items are tied to a specific Stat. When held, the Stat is set to -4 Combat Stages. Standard Action to drop.",Heart Gift,Pokémon of at least Level 30 with this Capability can produce a Heart Scale item once a week as an Extended Action.,,
Lansat Berry,Increases Critical Range by +1 for the remainder of the encounter.,Lagging Tail,The holder's Speed Stat is set to -4 Combat Stages. Standard Action to drop.,Heater,A Pokémon with the Heater Capability is always warm.,,
Starf Berry,Random stat CS +2.  May be used only at 25% HP or lower.,Lagging Item (Atk),The holder's Attack Stat is set to -4 Combat Stages. Standard Action to drop.,Herb Growth,Pokémon of at least Level 20 with this Capability may produce a Revival Herb once a day as an Extended Action. This Herb may be harvested by a Trainer.,,
Enigma Berry,User gains Temporary HP equal to 1/6th of their Max HP when hit by a Super Effective Move.,Lagging Item (Def),The holder's Defense Stat is set to -4 Combat Stages. Standard Action to drop.,Honey Gather,"Once a day, Pokémon with this Capability can find a Honey item as an Extended Action if they are allowed time in an environment with abundant plant life. Honey may be collected with a Collection Jar.",,
Micle Berry,Increases Accuracy by +1.,Lagging Item (SAtk),The holder's Special Attack Stat is set to -4 Combat Stages. Standard Action to drop.,Illusionist,"Pokémon with the Illusionist Capability can create minor visual Illusions as a Standard Action. These may be no more than half a meter in any dimension and produce no sensory sensations outside of sight. Any physical contact noticeably disrupts an Illusion, and all other effects that see through Illusions can do so. Otherwise, the Illusion appears life-like and can be made to move, though it cannot move further than the user’s Focus Rank in meters away from the user. Actively manipulating the Illusion requires constant attention from the user. For minor effects such as making an illusionary flame dance, this requires the user to constantly spend its Swift Actions. For more major effects such as animating an illusionary skeleton, the user must constantly spend Standard Actions.",,
Jaboca Berry,Foe dealing Physical Damage to the user loses 1/8 of their Maximum HP.,Lagging Item (SDef),The holder's Special Defense Stat is set to -4 Combat Stages. Standard Action to drop.,Inflatable,"A Pokémon with the capability Inflatable can expand its size up to 125% of its normal size as a Standard Action. While Inflated, a Pokémon does not change its weight. When Inflated, Pokémon gain a -1 Penalty to Evasion, but become Blocking Terrain; you may not target through an Inflated Pokémon. Returning to normal size is a Shift Action.",,
Rowap Berry,Foe dealing Special Damage to the user loses 1/8 of their Maximum HP.,Lax Incense,All Stat Evasions +1,Invisibility,"Pokémon who have the Invisibility Capability can turn invisible as a Shift Action. Pokémon may not perform Moves while invisible. While invisible, you must roll +4 during Accuracy Checks to hit the Pokémon. When a Pokémon turns invisible, they can only remain invisible for up to 4 minutes or can turn visible again as a Free Action. After becoming visible, they must wait two plus the number of minutes they spent invisible before turning invisible again.",,
Cornn Berry,Cures Disabled condition,Life Orb,"Whenever the holder deals direct damage, increase the damage by +5, and then the holder loses Hit Points equal to 1/16th of their Max Hit Points.",Juicer,"When Shuckle is holding a berry, after 24 hours of that Berry going unused, it will be turned into Berry Juice and stored in the Shuckle’s shell. Shuckle may use Berry Juice as a Snack Item; if the juice is bottled, other Pokémon and Trainers may drink the Berry Juice as a Refreshment. If a Berry Juice item is left in the Shuckle’s shell unused for two weeks it solidifies and turns into a Rare Candy.",,
Magost Berry,Cures Enraged condition,Luck Incense,Grants +1 Bonus to all Accuracy Rolls. A roll of 1 always misses.,Keystone Warp,Spiritomb carries around with it an Odd Keystone. Trainers may collect additional Odd Keystones as they travel. They may then synchronize them with a Spiritomb for the cost of 2 Tutor Points. A Spiritomb may then freely teleport between any Odd Keystones within 10 meters as a Standard Action.,,
Rabuta Berry,Cures Suppressed condition,Quick Claw,The user adds +10 to their Initiative.,Letter Press,"Unown with the Letter Press capability may be combined with other Unown, creating a Prime Unown, or adding to an existing Prime Unown. The first four times you add an Unown to a Prime Unown, including the creation of the Prime Unown, add 5 points to any one of the Prime Unown’s Base stats. Combined Unown may retain different instances of Hidden Power from each individual Unown, up the normal Move List limit. When combining Unown with the Letter Press capability, for each instance of Hidden Power, choose whether it will operate on Attack stat or Special Attack stat. This choice is permanent. Unowns combined with Letter Press can be kept in a single Poké Ball, essentially becoming a single Pokémon. Once combined with Letter Press, Unowns cannot be separated. Prime Unown lose the Underdog Capability.",,
Nomel Berry,Cures Infatuated condition,Razor Claw,The holder’s damaging attacks have their Critical Hit Range extended by +1.,Living Weapon,"In addition to being a Pokémon, Honedge and its evolutionary relatives also count as equipment and may be used as such if the Pokémon is willing. Honedge may be used as a Small Melee Weapon. Doublade may be used as two Small Melee Weapons; when one is held in each hand, the user gains +2 to Evasion. Aegislash may be used as a Small Melee Weapon and a Light Shield. When Fainted, these Pokémon may still be used as inanimate pieces of equipment, but all rolls made with them take a -2 penalty.

If the Living Weapon is also being used as an active Pokémon, the Wielder and the Living Weapon use the Wielder’s Movement Speed to shift during each of their turns, and the total amount Shifted during the round cannot exceed the Wielder’s Movement Speed.

While wielded, the Living Weapon may impart its wielder benefits as if it were a Simple or Fine Weapon, as long as the wielder has the requisite Combat Skill Rank. A Honedge counts as a Simple Weapon and grants the Adept Move Wounding Strike. A Doublade counts as a Simple Weapon and Grants the Adept Move Double Swipe. An Aegislash counts as a Fine Weapon and grants the Adept Move Wounding Strike and the Master Move Bleed!. While used as a Living Weapon, the Pokémon also adds these Moves to its own Move List, so long as their wielder qualifies to access them.

Either the Living Weapon or the Wielder can disengage as a Swift Action during their turn to Shift and attack separately. Re-engaging is a Standard Action that may be taken by either party. While Wielded, a Living Weapon cannot benefit from its No Guard Ability, and an Aegislash is automatically in Blade forme.",,
Leppa Berry,Restores a Scene Move,Razor Fang,The holder’s damaging attacks cause an Injury on a roll of 19+.,Magnetic,"Magnetic Pokémon can lightly manipulate magnetic fields. With this, they can repel or attract iron and/or steel, holding it to their body or pushing it away. Through this magnetic manipulation, they can also feel magnetic fields and discern magnetic north.",,
Occa Berry,Weakens foe’s super effective Fire-type move by one step,Safety Goggles,The holder is immune to Moves with the Powder Keyword.,Marsupial,"Kangaskhan is always born with the Baby Template (see Optional Rules), subtracting 5 from each of its Base Stats. While Kangaskhan have the Baby Template, they live in their mother’s pouch and will not willingly leave it for long; their bond is so strong, that both Pokémon are able to be captured in a single Pokeball during this time. While Kangaskhan has the Baby Template, it cannot be Commanded to fight or take any action. Mother Kangaskhan with a Baby in their pouch are exceptional at protecting their babies; attacks cannot target Kangaskhan inside their mother’s pouch while she is conscious. Trainers raising a Kangaskhan may choose to have their Mother Kangaskhan gain 20% less experience from any sources and give that Experience to the baby instead. Once a Baby Kangaskhan reaches level 25 and loses the Baby Template, it exits its mother’s pouch permanently. If its mother had a loyalty higher than 1, it will allow itself to be easily caught by its Trainer.",,
Passho Berry,Weakens foe’s super effective Water-type move by one step,Shell Bell,"Whenever the holder damages a foe, they gain a Tick of Temporary Hit Points.",Materializer,"The Pokémon’s struggle Attacks may be Rock-Typed if they wish. They may also add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish.",,
Wacan Berry,Weakens foe’s super effective Electric-type move by one step,Shock Collar,"Comes with a remote activator, which, when activated, causes the holder to lose Hit Points equal to 1/6th of their Max Hit Points. This may be used to activate the “Press” Feature.",Milk Collection,The user may produce a MooMoo Milk Item once a day as an Extended Action as long as they are at least Level 20. MooMoo Milk may be collected with a Collection Jar.,,
Rindo Berry,Weakens foe’s super effective Grass-type move by one step,Stat Boosters,"Stat Boosters are tied one of the following Stats: Attack, Defense, Special Attack, Special Defense, Speed, Evasion, or Accuracy. When held, the default state of the Stat is +1 Combat Stage, or simply +1 for Accuracy and Evasion.",Mindlock,"Pokémon who have the Capability Mindlock cannot have their minds read by Telepathy, are immune to the Move Mind Reader, cannot have their emotions calmed with Gentle Vibe, and Telepathic Warning cannot trigger on their attacks. The Dream Reader Capability cannot read their dreams.",,
Yache Berry,Weakens foe’s super effective Ice-type move by one step,Attack Booster,The default state of the holder's Attack Stat is +1 Combat Stage.,Mountable X,"This Pokémon may serve as a mount for X average Trainers regardless of Power Capability and ignoring penalties for weight carried. This Capability fails to function if significant weight is added in addition to the Trainer(s). Note that this Capability is meant to be used as a guideline, not a hard and fast rule. Feel free to adjust which Pokémon can be ridden as fits your campaign.",,
Chople Berry,Weakens foe’s super effective Fighting-type move by one step,Defense Booster,The default state of the holder's Defense Stat is +1 Combat Stage.,Mushroom Harvest,"Pokémon of at least Level 20 with this Capability can produce a mushroom item once a day as an Extended Action. Roll 1d20 when this Capability is used. On a roll of 1-12, a Tiny Mushroom is produced. On a roll of 13-18, a Big Mushroom is produced. On a roll of 19-20, a Balm Mushroom is produced.",,
Kebia Berry,Weakens foe’s super effective Poison-type move by one step,S Attack Booster,The default state of the holder's Special Attack Stat is +1 Combat Stage.,Naturewalk,"Naturewalk is always listed with Terrain types in parentheses, such as Naturewalk (Forest and Grassland). Pokémon with Naturewalk treat all listed terrains as Basic Terrain.",,
Shuca Berry,Weakens foe’s super effective Ground-type move by one step,S Defense Booster,The default state of the holder's Special Defense Stat is +1 Combat Stage.,Pack Mon,"A Pokémon with Pack Mon instinctively belong to a rigid pack structure, and are naturally inclined to the top of that structure. Wild Pokémon that are of this Pokémon’s unevolved form or at least 10 levels lower than the user will instantly obey the user’s commands; showing a Pokémon with Pack Mon to a group of Wilds will put them at a Fearful disposition. However, two Pack Mons of the same species and within 10 Levels of each other will fight for dominance of the group. If a Wild Pack Leader is ten levels higher than your Pokémon, it will expect your Pokémon to obey it, and may attack if it does not.",,
Coba Berry,Weakens foe’s super effective Flying-type move by one step,Speed Booster,The default state of the holder's Speed Stat is +1 Combat Stage.,Pearl Creation,"When a Pokémon with this Capability Evolves, it loses this Capability and creates a Pink Pearl Held Item.",,
Payapa Berry,Weakens foe’s super effective Psychic-type move by one step,Accuracy Booster,Accuracy +1,Phasing,"A Pokémon with Phasing may Shift through Slow Terrain without their Speed Capabilities being affected. As a Standard action, they may turn completely Intangible. While Intangible, they cannot be targeted by Moves or attacks, cannot perform Standard Actions, and lose a Tick of Hit Points at the end of each round. While Intangible, they may pass through solid walls and all other blocking terrain during their Shift Action. Becoming Tangible again is a Shift Action.",,
Tanga Berry,Weakens foe’s super effective Bug-type move by one step,Evasion Booster,Evasion +1,Planter,"Pokémon with the Planter Capability can act as a Portable Grower, holding one plant at a time. Pokémon with this Capability may be limited in what they can grow. In these cases, they will have parentheses on their Planter Capability denoting what they can grow. For example, Planter (Berries) would allow the Pokémon to grow Berry plants only.",,
Charti Berry,Weakens foe’s super effective Rock-type move by one step,Toxic Orb,Induces Poison on holder. Standard Action to drop.,Premonition,"Pokémon with this Capability have a supernatural sense for natural disasters such as earthquakes, floods, and volcanic eruptions. The magnitude of the impending disaster and its proximity to the Pokémon both affect how often they get this sense before a disaster and how long in advance the warning is. Closer and bigger disasters tend to have a greater effect and may alert the Pokémon to the specific area where a disaster will occur days in advance, while lesser disasters may simply give the Pokémon an odd sense of unease several hours before they hit.",,
Kasib Berry,Weakens foe’s super effective Ghost-type move by one step,Type Boosters,"These items come in a variety of each of the Elemental Types, and grant a +5 Damage Bonus to all direct-damage Moves of that specific Type used by the holder.",Reach,"A Pokémon with Reach has the Range of their Melee attacks increased based on their size category; Small and Medium Pokémon may make Melee attacks from up to 2 meters away, and Large and bigger Pokémon may make Melee attacks from up to 3 meters away. Pokémon with Reach are either really large or have a stretchy limb with which they can strike foes from a distance.",,
Haban Berry,Weakens foe’s super effective Dragon-type move by one step,Bug Booster,Grants a +5 Damage Bonus to all direct-damage Bug Moves used by the holder.,Shadow Meld,"Gengar can melt into shadows to remain unseen as a Standard Action. While doing so, Gengar receives a +4 bonus to Stealth rolls, gains +1 to its evasion, and can travel along a surface as if completely flat. Gengar may also “ride” along on a living creature’s shadow, moving along with it as the creature moves. Gengar may not use Standard Actions while melded into shadow. Reforming is a Shift Action.",,
Colbur Berry,Weakens foe’s super effective Dark-type move by one step,Dark Booster,Grants a +5 Damage Bonus to all direct-damage Dark Moves used by the holder.,Shapeshifter,"Pokémon with this Capability can change their shape at will, taking on different forms as a Standard Action. When using this Capability, the user cannot increase or decrease its total mass by more than 50%, and they cannot replicate complex machines such as computers or phones. They may take on the appearance of these devices, but they will appear simplified in comparison. They can, however, transform into other moving forms such as acting as someone’s prosthetic limb, a living lever or pulley system, or a Pokémon comparable in size. Note in this last case that the Shapeshifter doesn’t gain any qualities of that Pokémon without actually using the Move Transform! Anyone closely examining a Shapeshifter Pokémon may determine its true nature with a Perception Check opposed by the Pokémon’s Stealth.",,
Babiri Berry,Weakens foe’s super effective Steel-type move by one step,Dragon Booster,Grants a +5 Damage Bonus to all direct-damage Dragon Moves used by the holder.,Shrinkable,"A Pokémon with the capability Shrinkable can shrink its size up to 25% of its normal size as a Standard Action, but this does not change its weight. While Shrunken, a Pokémon may not perform Standard Actions except to return to normal size, and gains a +4 bonus to Evasion. Using Shrinkable is not the same as using the Move Minimize, but if a Pokémon learns the Move Minimize and does not have the Shrinkable Capability, they gain Shrinkable.",,
Chilan Berry,Weakens foe’s Normal-type move by one step,Electric Booster,Grants a +5 Damage Bonus to all direct-damage Electric Moves used by the holder.,Soulless,"Shedinja is a unique Pokémon. Its default Ability will always be Wonder Guard and Shedinja’s Max Hit Points is always 1. You may not add to a Shedinja’s Hit Point stat, and Shedinja may not have Temporary Hit Points. However, Shedinja can’t die and never gains Injuries. Given an Extended Rest, Shedinja always recovers to 1 Hit Point regardless of natural healing rate and how many Hit Points it had previously.",,
Roseli Berry,Weakens foe’s super effective Fairy-type move by one step,Fairy Booster,Grants a +5 Damage Bonus to all direct-damage Fairy Moves used by the holder.,Split Evolution,"Wurmple evolves based on its Nature; if it has a Nature that raises Attack, Special Attack, or Speed, it evolves into Silcoon. If it has a Nature that raises HP, Defense, or Special Defense, it evolves into Cascoon.",,
Custap Berry,Grants the Priority keyword to any Move. May only be used at 25% HP or lower.,Fighting Booster,Grants a +5 Damage Bonus to all direct-damage Fighting Moves used by the holder.,Sprouter,"Once per week, Pokémon with the Sprouter capability can rapidly influence the growth of plants and flora around them. As a Standard Action, they may cause a plant around them to bloom, and potentially grow up to 1 meter in any direction. Sprouter may cause planted Berries to instantly give yield.",,
Kee Berry,Defense CS +1. Activates as a Free Action when hit by a Physical Move.,Fire Booster,Grants a +5 Damage Bonus to all direct-damage Fire Moves used by the holder.,Stealth,"A Pokémon with the Stealth Capability are excellent at approaching the enemy for an up close assault. While Shifting, unless they purposely want to, Stealth Pokémon do not make any noise. Unless a Pokémon with Stealth has used a Ranged Move during the current round or the round previous, Ranged Moves may not target them if the line of sight drawn goes through Rough Terrain or if the Pokémon is on Rough Terrain.",,
Maranga Berry,Special Defense CS +1. Activates as a Free Action when hit by a Special Move.,Flying Booster,Grants a +5 Damage Bonus to all direct-damage Flying Moves used by the holder.,Telekinetic,"Telekinetic Pokémon and Trainers can move objects with their mind. They can lift things with Telekinesis as if they were using a Power Capability equal to their Focus Rank. When lifting Staggering Weights with Telekinesis, they roll Focus instead of Athletics, and the DC is 10 instead of 4. They can target objects up to 8 meters away. Count the combined weight of all objects when determining whether they can lift all of them. Using this Capability to lift the user’s Drag Weight or greater leaves discoverable psychic residue. Additionally, the user may use Struggle Attacks at a range of X, where X is the user’s Focus Rank. These Struggle Attacks deal Normal-Type Damage as usual, but the user may add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish. The user may perform the Disarm, Trip, and Push Maneuvers at the range of your Telekinetic Capability and using the Focus Skill for all opposed rolls. When the Push Maneuver is used this way, the user does not repeat the Push but instead Pushes the target a number of meters equal to half their Focus Rank.",,
Salty Surprise,"Gain 5 temporary Hit Points when hit by an attack.  If the user likes Salty, gain 10 temporary Hit Points instead.  If the user dislikes Salty, they become Enraged.",Ghost Booster,Grants a +5 Damage Bonus to all direct-damage Ghost Moves used by the holder.,Telepath,A Telepathic Pokémon can read the surface thoughts of people and other Pokémon X meters away where X is Focus Rank doubled. Pokémon with Telepathy can project their thoughts to the minds of other Trainers or Pokémon with Telepathy. Trainers with Telepathy can project their thoughts to the minds of any Trainer or Pokémon. Telepathy can be used to read only one target at a time but can project to on a number of separate targets at once equal to half the user’s Focus Rank. Telepathy may be used to read minds with or without making the target aware of the attempt. Unwilling targets and targets that are unaware automatically resist the Telepathy attempt; the user and target roll opposed Focus Checks to determine if the Telepathy attempt is successful. A failure imposes a cumulative -3 penalty to future checks to use Telepathy on that target for the next 24 hours. Using Telepathy on an Unwilling target leaves discoverable psychic residue.,,
Spicy Wrap,"Deal +5 additional damage when making a physical attack.  If the user likes Spicy, deal +10 additional damage instead.  If the user dislikes Spicy, they become Enraged.",Grass Booster,Grants a +5 Damage Bonus to all direct-damage Grass Moves used by the holder.,Threaded,"Pokémon with the Threaded Capability may make a Threaded Shift as a Shift Action. A Threaded Shift is when a Pokémon targets an object and shoots a strong, thin line of silk, or extends a vine from themselves, and then quickly retracts that silk, or vine, pulling itself towards the object if the Pokémon is lighter than the object, or pulling the object towards the Pokémon if it is lighter than the user. Threaded has a range of 4 meters. If you target an unwilling Pokémon or Trainer with threaded, Threaded requires an AC 6 Status Attack to use.",,
Sour Candy,"Gain +5 damage reduction against a physical attack.  If the user likes Sour, gain +10 damage reduction instead.  If the user dislikes Sour, they become Enraged.",Ground Booster,Grants a +5 Damage Bonus to all direct-damage Ground Moves used by the holder.,Tracker,"Pokémon with the Tracker Capability have a strong sense of smell that they can use to follow other Pokémon or people. If the Pokémon has smelt whom they want to track in the past day, or one of their personal belongings, they can pursue that prey with a Perception check of 8 or better. To pick-up a random scent from nothing, a Perception check of 14 or better will allow the Pokémon to follow that scent. To pick-up a specific scent from nothing, a Perception check of 20 will allow the Pokémon to follow that scent. A Pokémon may only make these checks once per hour.",,
Dry Wafer,"Deal +5 additional damage when making a special attack.  If the user likes Dry, deal +10 additional damage instead.  If the user dislikes Dry, they become Enraged.",Ice Booster,Grants a +5 Damage Bonus to all direct-damage Ice Moves used by the holder.,Tremorsense,"Pokémon with the Tremorsense Capability can sense the location, size, and shape of objects in the ground around them for up to 5 meters, almost as if they could see through the ground.",,
